#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3080076053 ; 2.02542 ; 3.30475 ; 0 ; 0
3080076213 ; 2.06316 ; 3.30475 ; 0 ; 0
3080076373 ; 2.04368 ; 3.30475 ; 0 ; 0
3080076533 ; 2.04246 ; 3.30475 ; 0 ; 0
3080076693 ; 2.03394 ; 3.30475 ; 0 ; 0
3080076853 ; 2.04003 ; 3.30475 ; 0 ; 0
3080077013 ; 2.01568 ; 3.30475 ; 0 ; 0
3080077173 ; 2.07046 ; 3.30475 ; 0 ; 0
3080077333 ; 1.98768 ; 3.30475 ; 0 ; 0
3080077493 ; 2.03394 ; 3.30475 ; 0 ; 0
3080077653 ; 2.02298 ; 3.30475 ; 0 ; 0
3080077813 ; 2.06803 ; 3.30475 ; 0 ; 0
3080077973 ; 2.0169 ; 3.30475 ; 0 ; 0
3080078133 ; 2.01933 ; 3.30475 ; 0 ; 0
3080078293 ; 2.04368 ; 3.30475 ; 0 ; 0
3080078453 ; 2.04246 ; 3.30475 ; 0 ; 0
3080078613 ; 2.05707 ; 3.30475 ; 0 ; 0
3080078773 ; 2.04124 ; 3.30475 ; 0 ; 0
3080078933 ; 2.04611 ; 3.30475 ; 0 ; 0
3080079093 ; 2.00959 ; 3.30475 ; 0 ; 0
3080079253 ; 2.06316 ; 3.30475 ; 0 ; 0
3080079413 ; 2.03759 ; 3.30475 ; 0 ; 0
3080079573 ; 2.0449 ; 3.30475 ; 0 ; 0
3080079733 ; 2.02055 ; 3.30475 ; 0 ; 0
3080079893 ; 2.00959 ; 3.30475 ; 0 ; 0
3080080053 ; 2.04733 ; 3.30475 ; 0 ; 0
3080080213 ; 2.04003 ; 3.30475 ; 0 ; 0
3080080373 ; 2.04246 ; 3.30475 ; 0 ; 0
3080080533 ; 2.07168 ; 3.30475 ; 0 ; 0
3080080693 ; 1.99985 ; 3.30475 ; 0 ; 0
3080080853 ; 2.03394 ; 3.30475 ; 0 ; 0
3080081013 ; 2.03759 ; 3.30475 ; 0 ; 0
3080081173 ; 2.0729 ; 3.30475 ; 0 ; 0
3080081333 ; 2.02298 ; 3.30475 ; 0 ; 0
3080081493 ; 2.0169 ; 3.30475 ; 0 ; 0
3080081653 ; 2.04733 ; 3.30475 ; 0 ; 0
3080081813 ; 2.06072 ; 3.30475 ; 0 ; 0
3080081973 ; 2.02785 ; 3.30475 ; 0 ; 0
3080082133 ; 2.05951 ; 3.30475 ; 0 ; 0
3080082293 ; 2.0315 ; 3.30475 ; 0 ; 0
3080082453 ; 2.03394 ; 3.30475 ; 0 ; 0
3080082613 ; 2.05585 ; 3.30475 ; 0 ; 0
3080082773 ; 2.0315 ; 3.30475 ; 0 ; 0
3080082933 ; 2.02542 ; 3.30475 ; 0 ; 0
3080083093 ; 1.98889 ; 3.30475 ; 0 ; 0
3080083253 ; 2.04977 ; 3.30475 ; 0 ; 0
3080083413 ; 2.04611 ; 3.30475 ; 0 ; 0
3080083573 ; 2.01933 ; 3.30475 ; 0 ; 0
3080083733 ; 2.06316 ; 3.30475 ; 0 ; 0
3080083893 ; 2.0315 ; 3.30475 ; 0 ; 0
3080084053 ; 2.02663 ; 3.30475 ; 0 ; 0
3080084213 ; 2.08386 ; 3.30475 ; 0 ; 0
3080084373 ; 2.01933 ; 3.30475 ; 0 ; 0
3080084533 ; 2.04368 ; 3.30475 ; 0 ; 0
3080084693 ; 2.02177 ; 3.30475 ; 0 ; 0
3080084853 ; 2.02298 ; 3.30475 ; 0 ; 0
3080085013 ; 2.04977 ; 3.30475 ; 0 ; 0
3080085173 ; 2.04733 ; 3.30475 ; 0 ; 0
3080085333 ; 2.0169 ; 3.30475 ; 0 ; 0
3080085493 ; 2.01203 ; 3.30475 ; 0 ; 0
3080085653 ; 2.03637 ; 3.30475 ; 0 ; 0
3080085813 ; 2.05464 ; 3.30475 ; 0 ; 0
3080085973 ; 2.03394 ; 3.30475 ; 0 ; 0
3080086133 ; 2.02177 ; 3.30475 ; 0 ; 0
3080086293 ; 2.03029 ; 3.30475 ; 0 ; 0
3080086453 ; 2.01081 ; 3.30475 ; 0 ; 0
3080086613 ; 2.04855 ; 3.30475 ; 0 ; 0
3080086773 ; 2.02055 ; 3.30475 ; 0 ; 0
3080086933 ; 2.06803 ; 3.30475 ; 0 ; 0
3080087093 ; 1.9962 ; 3.30475 ; 0 ; 0
3080087253 ; 2.07655 ; 3.30475 ; 0 ; 0
3080087413 ; 2.04733 ; 3.30475 ; 0 ; 0
3080087573 ; 2.05951 ; 3.30475 ; 0 ; 0
3080087733 ; 2.01446 ; 3.30475 ; 0 ; 0
3080087893 ; 2.02907 ; 3.30475 ; 0 ; 0
3080088053 ; 2.06072 ; 3.30475 ; 0 ; 0
3080088213 ; 2.03759 ; 3.30475 ; 0 ; 0
3080088373 ; 1.99376 ; 3.30475 ; 0 ; 0
3080088533 ; 2.01811 ; 3.30475 ; 0 ; 0
3080088693 ; 2.0315 ; 3.30475 ; 0 ; 0
3080088853 ; 2.06925 ; 3.30475 ; 0 ; 0
3080089013 ; 2.01203 ; 3.30475 ; 0 ; 0
3080089173 ; 2.04977 ; 3.30475 ; 0 ; 0
3080089333 ; 2.0242 ; 3.30475 ; 0 ; 0
3080089493 ; 2.03394 ; 3.30475 ; 0 ; 0
3080089653 ; 2.05585 ; 3.30475 ; 0 ; 0
3080089813 ; 2.06072 ; 3.30475 ; 0 ; 0
3080089973 ; 2.02055 ; 3.30475 ; 0 ; 0
3080090133 ; 2.0315 ; 3.30475 ; 0 ; 0
3080090293 ; 2.0242 ; 3.30475 ; 0 ; 0
3080090453 ; 2.05098 ; 3.30475 ; 0 ; 0
3080090613 ; 2.0315 ; 3.30475 ; 0 ; 0
3080090773 ; 2.00837 ; 3.30475 ; 0 ; 0
3080090933 ; 2.02907 ; 3.30475 ; 0 ; 0
3080091093 ; 2.02177 ; 3.30475 ; 0 ; 0
3080091253 ; 2.04611 ; 3.30475 ; 0 ; 0
3080091413 ; 2.02177 ; 3.30475 ; 0 ; 0
3080091573 ; 2.04368 ; 3.30475 ; 0 ; 0
3080091733 ; 2.05464 ; 3.30475 ; 0 ; 0
3080091893 ; 2.02663 ; 3.30475 ; 0 ; 0
3080092053 ; 2.04611 ; 3.30475 ; 0 ; 0
3080092213 ; 2.06316 ; 3.30475 ; 0 ; 0
3080092373 ; 2.03394 ; 3.30475 ; 0 ; 0
3080092533 ; 2.01203 ; 3.30475 ; 0 ; 0
3080092693 ; 2.04977 ; 3.30475 ; 0 ; 0
3080092853 ; 2.07168 ; 3.30475 ; 0 ; 0
3080093013 ; 2.04246 ; 3.30475 ; 0 ; 0
3080093173 ; 2.02907 ; 3.30475 ; 0 ; 0
3080093333 ; 2.03637 ; 3.30475 ; 0 ; 0
3080093493 ; 2.04124 ; 3.30475 ; 0 ; 0
3080093653 ; 2.06194 ; 3.30475 ; 0 ; 0
3080093813 ; 2.01568 ; 3.30475 ; 0 ; 0
3080093973 ; 2.01933 ; 3.30475 ; 0 ; 0
3080094133 ; 2.01081 ; 3.30475 ; 0 ; 0
3080094293 ; 2.04977 ; 3.30475 ; 0 ; 0
3080094453 ; 2.06681 ; 3.30475 ; 0 ; 0
3080094613 ; 2.04611 ; 3.30475 ; 0 ; 0
3080094773 ; 2.0242 ; 3.30475 ; 0 ; 0
3080094933 ; 2.01811 ; 3.30475 ; 0 ; 0
3080095093 ; 2.0522 ; 3.30475 ; 0 ; 0
3080095253 ; 2.05707 ; 3.30475 ; 0 ; 0
3080095413 ; 2.04003 ; 3.30475 ; 0 ; 0
3080095573 ; 2.03394 ; 3.30475 ; 0 ; 0
